"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.23941,494.33,5.3228,-0.017913,0,8.1028e+05,1,0,0,0,0.1
0.23943,494.33,5.3234,-0.017916,0,8.1028e+05,1,0.0013557,0.0013557,0,0.1
0.23946,494.33,5.324,-0.017918,0,8.1028e+05,1,0.0027114,0.0027114,0,0.1
0.23948,494.33,5.3245,-0.017921,0,8.1028e+05,1,0.0040671,0.0040671,0,0.1
0.23951,494.33,5.3251,-0.017923,0,8.1028e+05,1,0.0054228,0.0054228,0,0.1
0.23954,494.32,5.3257,-0.017925,0,8.1028e+05,1,0.0067785,0.0067785,0,0.1
0.23956,494.32,5.3262,-0.017928,0,8.1028e+05,1,0.0081342,0.0081342,0,0.1
0.23959,494.32,5.3268,-0.01793,0,8.1028e+05,1,0.0094899,0.0094899,0,0.1
0.23962,494.32,5.3276,-0.017936,0,8.1027e+05,1,0.010846,0.010846,0,0.1
0.2397,494.32,5.3292,-0.017949,0,8.1026e+05,1,0.012201,0.012201,0,0.1
0.23977,494.31,5.3307,-0.017963,0,8.1025e+05,1,0.013557,0.013557,0,0.1
0.23984,494.31,5.3323,-0.017977,0,8.1023e+05,1,0.014913,0.014913,0,0.1
0.23991,494.31,5.3339,-0.017991,0,8.1022e+05,1,0.016268,0.016268,0,0.1
0.23998,494.3,5.3355,-0.018004,0,8.1021e+05,1,0.017624,0.017624,0,0.1
0.24005,494.3,5.337,-0.018018,0,8.1019e+05,1,0.01898,0.01898,0,0.1
0.24013,494.29,5.3386,-0.018032,0,8.1018e+05,1,0.020335,0.020335,0,0.1
0.24021,494.29,5.3404,-0.018056,0,8.1016e+05,1,0.021691,0.021691,0,0.1
0.2403,494.29,5.3424,-0.018091,0,8.1013e+05,1,0.023047,0.023047,0,0.1
0.24039,494.28,5.3445,-0.018126,0,8.1011e+05,1,0.024403,0.024403,0,0.1
0.24048,494.28,5.3465,-0.018162,0,8.1008e+05,1,0.025758,0.025758,0,0.1
