"Ma","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.23924,0,0,0,494.34,5.3192,-0.017818,0,8.1032e+05
0.23942,0.0090909,0,0,494.33,5.3231,-0.017833,0,8.1032e+05
0.2399,0.018182,0,0,494.31,5.3338,-0.017915,0,8.1022e+05
0.24052,0.027273,0,0,494.28,5.3472,-0.01812,0,8.1006e+05
0.24108,0.036364,0,0,494.26,5.3595,-0.018457,0,8.099e+05
0.24157,0.045455,0,0,494.23,5.3704,-0.018903,0,8.0976e+05
0.24205,0.054545,0,0,494.21,5.381,-0.01945,0,8.0963e+05
0.24256,0.063636,0,0,494.18,5.3921,-0.020098,0,8.095e+05
0.24309,0.072727,0,0,494.16,5.4038,-0.020851,0,8.0935e+05
0.24365,0.081818,0,0,494.13,5.4161,-0.021713,0,8.092e+05
0.24423,0.090909,0,0,494.11,5.4288,-0.022686,0,8.0905e+05
0.24484,0.1,0,0,494.08,5.4422,-0.023772,0,8.0889e+05
0.24548,0.10909,0,0,494.05,5.4563,-0.024975,0,8.0872e+05
0.24616,0.11818,0,0,494.01,5.4712,-0.026297,0,8.0853e+05
0.24687,0.12727,0,0,493.98,5.4868,-0.027742,0,8.0834e+05
0.24763,0.13636,0,0,493.94,5.5034,-0.029314,0,8.0814e+05
0.24843,0.14545,0,0,493.9,5.521,-0.031016,0,8.0792e+05
0.24928,0.15455,0,0,493.86,5.5397,-0.032852,0,8.077e+05
0.25018,0.16364,0,0,493.82,5.5594,-0.034827,0,8.0745e+05
0.25114,0.17273,0,0,493.77,5.5805,-0.036945,0,8.0719e+05
0.25216,0.18182,0,0,493.72,5.6028,-0.039211,0,8.0691e+05
0.25323,0.19091,0,0,493.67,5.6262,-0.041628,0,8.0662e+05
0.25449,0.2,0,0,493.61,5.654,-0.044586,-2.393e-20,8.0629e+05
0.23925,0,0.031874,0,494.34,5.3192,-0.03284,0,8.1032e+05
0.23942,0.0090909,0.031874,0,494.33,5.323,-0.032874,0,8.1032e+05
0.23989,0.018182,0.031874,0,494.31,5.3334,-0.033055,0,8.1023e+05
0.24048,0.027273,0.031874,0,494.28,5.3464,-0.033488,0,8.1007e+05
0.24103,0.036364,0.031874,0,494.26,5.3583,-0.034173,0,8.0991e+05
0.2415,0.045455,0.031874,0,494.23,5.3688,-0.035067,0,8.0977e+05
0.24197,0.054545,0.031874,0,494.21,5.3791,-0.036152,0,8.0965e+05
0.24246,0.063636,0.031874,0,494.19,5.3898,-0.037432,0,8.0952e+05
0.24298,0.072727,0.031874,0,494.17,5.4012,-0.038916,0,8.0938e+05
0.24352,0.081818,0.031874,0,494.14,5.4131,-0.040609,0,8.0924e+05
0.24409,0.090909,0.031874,0,494.11,5.4255,-0.042515,0,8.0909e+05
0.24468,0.1,0.031874,0,494.08,5.4385,-0.044641,0,8.0893e+05
0.2453,0.10909,0.031874,0,494.05,5.4522,-0.046991,0,8.0876e+05
0.24596,0.11818,0.031874,0,494.02,5.4667,-0.049571,0,8.0858e+05
0.24666,0.12727,0.031874,0,493.99,5.4819,-0.052388,0,8.084e+05
0.2474,0.13636,0.031874,0,493.95,5.4981,-0.055448,0,8.082e+05
0.24818,0.14545,0.031874,0,493.92,5.5153,-0.05876,0,8.0799e+05
0.24901,0.15455,0.031874,0,493.88,5.5335,-0.062329,0,8.0777e+05
0.2499,0.16364,0.031874,0,493.83,5.5528,-0.066164,0,8.0753e+05
0.25084,0.17273,0.031874,0,493.79,5.5734,-0.070272,0,8.0727e+05
0.25184,0.18182,0.031874,0,493.74,5.5952,-0.074661,0,8.07e+05
0.25289,0.19091,0.031874,0,493.69,5.6182,-0.079338,0,8.0671e+05
0.25413,0.2,0.031874,0,493.62,5.6454,-0.085055,-2.8062e-20,8.0639e+05
0.23925,0,0.061396,0,494.34,5.3191,-0.06159,0,8.1032e+05
0.23941,0.0090909,0.061396,0,494.33,5.3226,-0.061659,0,8.1032e+05
0.23984,0.018182,0.061396,0,494.31,5.3319,-0.062015,0,8.1023e+05
0.24037,0.027273,0.061396,0,494.29,5.3438,-0.062856,0,8.1009e+05
0.24087,0.036364,0.061396,0,494.26,5.3546,-0.064179,0,8.0994e+05
0.2413,0.045455,0.061396,0,494.24,5.3641,-0.065899,0,8.0982e+05
0.24173,0.054545,0.061396,0,494.22,5.3735,-0.067983,0,8.0971e+05
0.24218,0.063636,0.061396,0,494.2,5.3833,-0.07044,0,8.0959e+05
0.24265,0.072727,0.061396,0,494.18,5.3937,-0.073286,0,8.0946e+05
0.24315,0.081818,0.061396,0,494.16,5.4046,-0.076534,0,8.0933e+05
0.24367,0.090909,0.061396,0,494.13,5.4159,-0.080192,0,8.0919e+05
0.24422,0.1,0.061396,0,494.11,5.4279,-0.084271,0,8.0905e+05
0.2448,0.10909,0.061396,0,494.08,5.4405,-0.088782,0,8.0889e+05
0.24541,0.11818,0.061396,0,494.05,5.4539,-0.093736,0,8.0873e+05
0.24606,0.12727,0.061396,0,494.02,5.468,-0.099147,0,8.0856e+05
0.24674,0.13636,0.061396,0,493.98,5.483,-0.10503,0,8.0837e+05
0.24748,0.14545,0.061396,0,493.95,5.499,-0.11139,0,8.0818e+05
0.24826,0.15455,0.061396,0,493.91,5.5159,-0.11826,0,8.0797e+05
0.24909,0.16364,0.061396,0,493.87,5.534,-0.12563,0,8.0774e+05
0.24997,0.17273,0.061396,0,493.83,5.5532,-0.13353,0,8.075e+05
0.25092,0.18182,0.061396,0,493.78,5.5738,-0.14197,0,8.0725e+05
0.25191,0.19091,0.061396,0,493.73,5.5954,-0.15097,0,8.0697e+05
0.2531,0.2,0.061396,0,493.67,5.6211,-0.16198,-2.3026e-20,8.0666e+05
0.23926,0,0.08874,0,494.34,5.3189,-0.085349,0,8.1032e+05
0.23939,0.0090909,0.08874,0,494.33,5.3218,-0.085446,0,8.1032e+05
0.23975,0.018182,0.08874,0,494.31,5.3298,-0.085943,0,8.1024e+05
0.24021,0.027273,0.08874,0,494.3,5.3398,-0.087123,0,8.1012e+05
0.24063,0.036364,0.08874,0,494.28,5.349,-0.088983,0,8.1e+05
0.241,0.045455,0.08874,0,494.26,5.3572,-0.091406,0,8.0989e+05
0.24137,0.054545,0.08874,0,494.24,5.3652,-0.094346,0,8.098e+05
0.24176,0.063636,0.08874,0,494.22,5.3736,-0.097816,0,8.097e+05
0.24217,0.072727,0.08874,0,494.2,5.3825,-0.10184,0,8.0959e+05
0.2426,0.081818,0.08874,0,494.18,5.3919,-0.10644,0,8.0947e+05
0.24305,0.090909,0.08874,0,494.16,5.4018,-0.11162,0,8.0935e+05
0.24353,0.1,0.08874,0,494.14,5.4122,-0.1174,0,8.0922e+05
